close_time,lower_bound,upper_bound,residual,real_price,predicted_price
2023-12-18,39539.87478086888,43294.56459105368,1283.150000000016,42657.80000000004,41374.65000000002
2023-12-19,40764.173318625915,44639.39171823101,-381.8100000000486,42275.98999999999,42657.80000000004
2023-12-20,40401.5295285292,44237.41752692905,1392.9399999999805,43668.92999999997,42275.98999999999
2023-12-21,41730.131085379355,45697.80630315415,192.87000000003172,43861.8,43668.92999999997
2023-12-22,41917.03428850964,45896.79427218855,107.23999999996158,43969.039999999964,43861.8
2023-12-23,42022.17547399394,46006.10170023287,-266.8799999999392,43702.160000000025,43969.039999999964
2023-12-24,41769.589120916055,45724.14593633707,-710.6600000000617,42991.49999999996,43702.160000000025
2023-12-25,41091.64876891973,44979.18987490135,584.6300000000338,43576.13,42991.49999999996
2023-12-26,41652.1707586233,45588.95901923124,-1067.1999999999753,42508.93000000002,43576.13
2023-12-27,40631.68868270602,44472.90251350088,919.91999999994,43428.84999999996,42508.93000000002
2023-12-28,41511.33997421918,45434.93449004167,-865.0899999999529,42563.76000000001,43428.84999999996
2023-12-29,40685.05652455829,44529.21588652677,-496.8099999999904,42066.95000000002,42563.76000000001
2023-12-30,40212.029492328555,44007.43520393822,73.32999999995081,42140.27999999997,42066.95000000002
2023-12-31,40284.61789473809,44081.420931395995,143.30000000005384,42283.58000000002,42140.27999999997
